aa:meaning ofaa
aah:meaning ofaah
aahed:meaning ofaahed
aahing:meaning ofaahing
aahs:meaning ofaahs
aal:meaning ofaal
aalii:meaning ofaalii
aaliis:meaning ofaaliis
aals:meaning ofaals
aardvark:meaning ofaardvark
aardwolf:meaning ofaardwolf
aargh:meaning ofaargh
aarrgh:meaning ofaarrgh
aarrghh:meaning ofaarrghh
aas:meaning ofaas
aasvogel:meaning ofaasvogel
ab:meaning ofab
aba:meaning ofaba
abaca:meaning ofabaca
abacas:meaning ofabacas
abaci:meaning ofabaci
aback:meaning ofaback
abacus:meaning ofabacus
abacuses:meaning ofabacuses
abaft:meaning ofabaft
abaka:meaning ofabaka
abakas:meaning ofabakas
abalone:meaning ofabalone
abalones:meaning ofabalones
abamp:meaning ofabamp
abampere:meaning ofabampere
abamps:meaning ofabamps
abandon:meaning ofabandon
abandons:meaning ofabandons
abapical:meaning ofabapical
abas:meaning ofabas
abase:meaning ofabase
abased:meaning ofabased
abasedly:meaning ofabasedly
abaser:meaning ofabaser
abasers:meaning ofabasers
abases:meaning ofabases
abash:meaning ofabash
abashed:meaning ofabashed
abashes:meaning ofabashes
abashing:meaning ofabashing
abasia:meaning ofabasia
abasias:meaning ofabasias
abasing:meaning ofabasing
abatable:meaning ofabatable
abate:meaning ofabate
abated:meaning ofabated
abater:meaning ofabater
abaters:meaning ofabaters
abates:meaning ofabates
abating:meaning ofabating
abatis:meaning ofabatis
abatises:meaning ofabatises
abator:meaning ofabator
abators:meaning ofabators
abattis:meaning ofabattis
abattoir:meaning ofabattoir
abaxial:meaning ofabaxial
abaxile:meaning ofabaxile
abba:meaning ofabba
abbacies:meaning ofabbacies
abbacy:meaning ofabbacy
abbas:meaning ofabbas
abbatial:meaning ofabbatial
abbe:meaning ofabbe
abbes:meaning ofabbes
abbess:meaning ofabbess
abbesses:meaning ofabbesses
abbey:meaning ofabbey
abbeys:meaning ofabbeys
abbot:meaning ofabbot
abbotcy:meaning ofabbotcy
abbots:meaning ofabbots
abdicate:meaning ofabdicate
abdomen:meaning ofabdomen
abdomens:meaning ofabdomens
abdomina:meaning ofabdomina
abduce:meaning ofabduce
abduced:meaning ofabduced
abducens:meaning ofabducens
abducent:meaning ofabducent
abduces:meaning ofabduces
abducing:meaning ofabducing
abduct:meaning ofabduct
abducted:meaning ofabducted
abductor:meaning ofabductor
abducts:meaning ofabducts
abeam:meaning ofabeam
abed:meaning ofabed
abele:meaning ofabele
abeles:meaning ofabeles
abelia:meaning ofabelia
abelian:meaning ofabelian
abelias:meaning ofabelias
abelmosk:meaning ofabelmosk
aberrant:meaning ofaberrant
abet:meaning ofabet
abetment:meaning ofabetment
abets:meaning ofabets
abettal:meaning ofabettal
abettals:meaning ofabettals
abetted:meaning ofabetted
abetter:meaning ofabetter
abetters:meaning ofabetters
abetting:meaning ofabetting
abettor:meaning ofabettor
abettors:meaning ofabettors
abeyance:meaning ofabeyance
abeyancy:meaning ofabeyancy
abeyant:meaning ofabeyant
abfarad:meaning ofabfarad
abfarads:meaning ofabfarads
abhenry:meaning ofabhenry
abhenrys:meaning ofabhenrys
abhor:meaning ofabhor
abhorred:meaning ofabhorred
abhorrer:meaning ofabhorrer
abhors:meaning ofabhors
abidance:meaning ofabidance
abide:meaning ofabide
abided:meaning ofabided
abider:meaning ofabider
abiders:meaning ofabiders
abides:meaning ofabides
abiding:meaning ofabiding
abigail:meaning ofabigail
abigails:meaning ofabigails
ability:meaning ofability
abioses:meaning ofabioses
abiosis:meaning ofabiosis
abiotic:meaning ofabiotic
abject:meaning ofabject
abjectly:meaning ofabjectly
abjure:meaning ofabjure
abjured:meaning ofabjured
abjurer:meaning ofabjurer
abjurers:meaning ofabjurers
abjures:meaning ofabjures
abjuring:meaning ofabjuring
ablate:meaning ofablate
ablated:meaning ofablated
ablates:meaning ofablates
ablating:meaning ofablating
ablation:meaning ofablation
ablative:meaning ofablative
ablaut:meaning ofablaut
ablauts:meaning ofablauts
ablaze:meaning ofablaze
able:meaning ofable
ablegate:meaning ofablegate
abler:meaning ofabler
ables:meaning ofables
ablest:meaning ofablest
ablings:meaning ofablings
ablins:meaning ofablins
abloom:meaning ofabloom
abluent:meaning ofabluent
abluents:meaning ofabluents
ablush:meaning ofablush
abluted:meaning ofabluted
ablution:meaning ofablution
ably:meaning ofably
abmho:meaning ofabmho
abmhos:meaning ofabmhos
abnegate:meaning ofabnegate
abnormal:meaning ofabnormal
abo:meaning ofabo
aboard:meaning ofaboard
abode:meaning ofabode
aboded:meaning ofaboded
abodes:meaning ofabodes
aboding:meaning ofaboding
abohm:meaning ofabohm
abohms:meaning ofabohms
aboideau:meaning ofaboideau
aboil:meaning ofaboil
aboiteau:meaning ofaboiteau
abolish:meaning ofabolish
abolla:meaning ofabolla
abollae:meaning ofabollae
aboma:meaning ofaboma
abomas:meaning ofabomas
abomasa:meaning ofabomasa
abomasal:meaning ofabomasal
abomasi:meaning ofabomasi
abomasum:meaning ofabomasum
abomasus:meaning ofabomasus
aboon:meaning ofaboon
aboral:meaning ofaboral
aborally:meaning ofaborally
aborning:meaning ofaborning
abort:meaning ofabort
aborted:meaning ofaborted
aborter:meaning ofaborter
aborters:meaning ofaborters
aborting:meaning ofaborting
abortion:meaning ofabortion
abortive:meaning ofabortive
aborts:meaning ofaborts
abos:meaning ofabos
abought:meaning ofabought
aboulia:meaning ofaboulia
aboulias:meaning ofaboulias
